comprador_id,renda_mensal_declarada,idade,estado_civil,profissao,numero_imoveis_adquiridos,possui_restricao_credito,pep
CPF-03931,8015.56,46,Casado,Advogado,1,0,0
CPF-07445,4047.78,55,Divorciado,Servidor,1,0,0
CPF-01663,8790.44,55,Casado,Empresário,1,0,0
CPF-04479,8191.8,61,Casado,Comerciante,2,0,0
CPF-02381,9396.28,45,Casado,Médico,1,0,1
CPF-04945,9641.54,27,Divorciado,Autônomo,1,0,0
CPF-00561,8739.57,30,Divorciado,Autônomo,2,0,0
CPF-02687,9404.48,58,Solteiro,Comerciante,1,0,0
CPF-00378,9449.73,55,Divorciado,Médico,1,0,0
CPF-00385,7514.3,55,Solteiro,Servidor,1,0,0
CPF-04318,7691.06,65,Solteiro,Empresário,1,0,0
CPF-00463,8145.77,43,Divorciado,Engenheiro,2,0,0
CPF-07030,4012.76,59,Solteiro,Advogado,2,0,0
CPF-07544,1918.29,44,Casado,Autônomo,1,0,0
CPF-03544,7430.49,33,Divorciado,Autônomo,1,0,0
CPF-02089,5914.07,28,Casado,Outros,2,0,0
CPF-07788,16655.32,37,Casado,Autônomo,2,1,0
CPF-01080,4426.83,28,Divorciado,Servidor,2,0,0
CPF-06909,8341.24,35,Divorciado,Servidor,1,0,0
CPF-07505,8316.52,41,Solteiro,Autônomo,2,0,0
CPF-04207,5964.54,43,Casado,Empresário,2,0,0
CPF-05045,9387.31,28,Casado,Autônomo,1,0,0
CPF-01197,10684.74,31,Divorciado,Empresário,1,0,0
CPF-03713,5770.84,56,Casado,Empresário,1,0,0
CPF-04029,10496.8,34,Solteiro,Engenheiro,1,0,0
CPF-02112,7128.14,35,Casado,Autônomo,2,0,0
CPF-04235,8362.82,44,Casado,Advogado,1,0,0
CPF-05469,9380.8,41,Solteiro,Outros,2,1,0
CPF-06091,8346.16,43,Solteiro,Outros,1,0,0
CPF-02721,6910.35,47,Divorciado,Autônomo,1,0,0
CPF-05319,12084.92,58,Divorciado,Servidor,1,0,0
CPF-06917,11011.58,38,Casado,Advogado,2,0,0
CPF-01703,10330.53,59,Divorciado,Engenheiro,2,0,0
CPF-03431,5878.31,54,Solteiro,Médico,1,0,0
CPF-05710,1500.0,40,Divorciado,Comerciante,1,0,0
CPF-05792,7750.62,31,Casado,Empresário,1,0,0
CPF-00836,11403.52,55,Solteiro,Autônomo,1,0,0
CPF-06444,4368.75,62,Divorciado,Advogado,2,1,0
CPF-00374,8679.37,39,Divorciado,Outros,1,0,0
CPF-05959,10065.43,58,Divorciado,Outros,2,0,0
CPF-02733,10386.17,33,Casado,Engenheiro,2,0,0
CPF-07304,13417.78,27,Casado,Outros,1,0,0
CPF-03205,7360.82,50,Divorciado,Outros,1,0,0
CPF-04731,2894.94,41,Divorciado,Empresário,1,0,0
CPF-03060,9428.99,49,Divorciado,Médico,1,0,0
CPF-06726,11773.16,36,Casado,Empresário,2,0,0
CPF-06133,5594.65,53,Solteiro,Engenheiro,2,0,0
CPF-04840,12343.85,27,Divorciado,Autônomo,2,0,0
CPF-03270,6624.07,52,Solteiro,Empresário,2,0,0
CPF-01709,8218.5,51,Divorciado,Empresário,2,0,0
CPF-04013,9843.53,52,Divorciado,Médico,2,1,0
CPF-01363,7995.74,28,Casado,Advogado,1,0,0
CPF-05708,4058.74,59,Divorciado,Engenheiro,2,0,0
CPF-02623,6305.11,45,Casado,Autônomo,1,0,0
CPF-04870,8616.67,43,Divorciado,Empresário,2,0,0
CPF-03682,4769.52,35,Casado,Servidor,1,0,0
CPF-05933,4248.47,60,Divorciado,Advogado,1,0,0
CPF-06957,7150.47,41,Casado,Empresário,1,0,0
CPF-01973,8558.11,41,Divorciado,Outros,2,0,0
CPF-03255,10755.27,53,Solteiro,Advogado,2,0,0
CPF-03234,6779.06,41,Casado,Engenheiro,1,0,0
CPF-06295,1500.0,41,Solteiro,Advogado,2,0,1
CPF-02624,7951.56,27,Casado,Advogado,1,0,1
CPF-05436,5640.27,43,Solteiro,Médico,2,0,0
CPF-07174,7816.51,38,Casado,Empresário,1,0,0
CPF-04404,6076.61,49,Solteiro,Outros,1,0,0
CPF-03702,11813.4,38,Divorciado,Outros,2,0,0
CPF-06975,3861.64,34,Casado,Autônomo,1,0,0
CPF-03248,5326.89,42,Solteiro,Médico,2,0,0
CPF-02716,6481.43,36,Divorciado,Empresário,2,0,0
CPF-05884,4313.58,34,Casado,Médico,1,0,0
